EncounterWhispering_Title,"The Whispering Black Hole"
EncounterWhispering_FlavorText,"As your ship approaches the vicinity of the black hole, you can't help but feel a sense of awe and trepidation. The immense gravitational force of the cosmic anomaly bends and distorts light, creating a mesmerizing visual effect that belies the inherent danger it poses. Your crew reports a strange, whispering sound coming from the direction of the black hole, barely perceptible above the background noise of the ship's systems. The whispers seem to form a pattern, hinting at a hidden meaning waiting to be deciphered."
EncounterWhispering_Choice1,"Attempt to decode the whispering pattern, while maintaining a safe distance from the black hole."
EncounterWhispering_Choice2,"Launch a probe to investigate the source of the whispers, while the ship stays on the edge of the event horizon."
EncounterWhispering_Choice3,"Ignore the whispers and leave the area, marking the location for potential future investigations."
EncounterWhispering_Choice1_Result,"Your crew successfully deciphers the pattern, revealing a message left by an ancient civilization that had harnessed the power of the black hole. The message contains the blueprints for a groundbreaking energy technology, which your civilization can use to greatly enhance its power generation capabilities. However, this newfound knowledge may attract the attention of rival civilizations, eager to claim the technology for themselves."
EncounterWhispering_Choice2_Result,"The probe bravely ventures into the depths of the black hole's gravitational pull, transmitting invaluable data back to the ship. Despite the probe's inevitable destruction, the data collected reveals the whispers to be the remnants of a lost civilization that was consumed by the black hole. Your civilization gains a deeper understanding of the universe's mysteries and the fate of those who dare to toy with its most powerful forces. This knowledge may help your people make more informed decisions in future encounters with cosmic anomalies."
EncounterWhispering_Choice3_Result,"Your decision to avoid the potential dangers of the black hole ensures the safety of your ship and crew. The whispers, however, continue to haunt the minds of those who heard them, leaving an air of mystery and unanswered questions. In future encounters, you may have another opportunity to investigate the phenomenon, or you may learn that other civilizations have unlocked the secrets of the black hole, potentially altering the balance of power in the galaxy."
EncounterMausoleum_Title,"The Floating Mausoleum"
EncounterMausoleum_FlavorText,"While traversing the vast emptiness of space, your ship's sensors detect a peculiar structure floating adrift among the stars. Upon closer inspection, it appears to be an ancient, abandoned space station, crafted with unparalleled artistry and adorned with intricate carvings. The station is a mausoleum, housing the relics and remains of a long-dead species. Each artifact and crypt tells a story of their remarkable achievements, their struggles, and the cataclysm that ultimately led to their extinction."
EncounterMausoleum_Choice1,"Enter the mausoleum to explore its depths and learn more about the extinct species."
EncounterMausoleum_Choice2,"Respect the sanctity of the dead and leave the mausoleum untouched, while scanning it for any useful information from a distance."
EncounterMausoleum_Choice3,"Salvage the artifacts from the mausoleum, hoping to acquire valuable resources and knowledge."
EncounterMausoleum_Choice1_Result,"Your crew carefully explores the hallowed halls of the mausoleum, uncovering the rich history and culture of the long-dead species. In their final days, they had developed a powerful defense technology that could shield entire planets from harm. Their knowledge and blueprints are shared with your civilization, allowing you to bolster your defenses against potential threats. However, by disturbing the resting place of the dead, you may have awakened ancient guardians or drawn the ire of other civilizations who consider your actions sacrilegious."
EncounterMausoleum_Choice2_Result,"By respecting the sanctity of the mausoleum, you maintain a delicate balance with the spirits of the past. Your ship's scans reveal the basic principles of the defense technology that the extinct species had developed. Although you don't acquire the complete blueprints, the information gathered proves useful in enhancing your civilization's existing defensive systems. Your actions demonstrate respect for the dead and may improve relations with other civilizations that share similar values."
EncounterMausoleum_Choice3_Result,"The decision to salvage the artifacts from the mausoleum yields a wealth of resources and valuable relics. Your civilization reaps the benefits of ancient knowledge and rare materials, giving you an edge in technological advancement and economic growth. However, word of your actions spreads, and other civilizations may view you as opportunistic grave robbers, potentially harming diplomatic relations. Additionally, your disregard for the sanctity of the dead may have unleashed a dormant curse that could bring misfortune to your people in the future."
Encounter_TNG_Title,"The Paradoxical Planet"
Encounter_TNG_FlavorText,"Your ship arrives at the edge of an uncharted star system, where it detects a planet emitting peculiar energy readings. The planet appears to be shifting in and out of existence, as if caught in a temporal loop. The readings suggest that the planet is home to a highly advanced civilization, with technology that far surpasses your own. Your crew speculates that the planet's inhabitants may have unwittingly triggered a temporal anomaly, causing their world to become trapped between the fabric of time and space."
Encounter_TNG_Choice1,"Attempt to establish communication with the planet's inhabitants and offer assistance."
Encounter_TNG_Choice2,"Send an away team to the surface to investigate the temporal anomaly and gather information."
Encounter_TNG_Choice3,"Observe the planet from a safe distance, studying the anomaly and its potential implications for your own civilization."
Encounter_TNG_Choice1_Result,"Your crew establishes contact with the planet's inhabitants, who are both grateful for your assistance and eager to share their knowledge. Together, your civilizations work to unravel the complex nature of the temporal anomaly, ultimately finding a solution to stabilize the planet's existence. In exchange for your help, the inhabitants share their advanced technology with your civilization, strengthening your bonds and potentially opening the door to future collaborations. However, the newfound alliance may draw the attention of rival civilizations, who view this partnership as a threat to the balance of power."
Encounter_TNG_Choice2_Result,"The away team lands on the planet's surface, experiencing firsthand the disorienting effects of the temporal anomaly. They meet the inhabitants, who are initially wary but ultimately welcome the assistance. By studying the anomaly from within, your team is able to devise a solution that stabilizes the planet's existence. Your civilization gains invaluable knowledge about temporal mechanics, providing a potential advantage in future encounters. However, the away team's actions may have inadvertently altered the course of the planet's history, leading to unforeseen consequences down the line."
