Label,String
Trait_SharedBelief_Dec,"[I]Shared beliefs and values unite the hearts and minds of countless beings, the strength of their collective spirit transcends the limits of individual understanding.[/I][BR][BR][COLOR=UIDefaultHighlight] Increased likelihood that new citizens will have the Collectivism trait [BR][BR] Population cap on core worlds increases by 2[/COLOR]"
Trait_MoralRelativism_Dec,[I]Good and bad are but perspectives.[/I][BR][BR][COLOR=UIDefaultHighlight]Nihilists on planet have their stats increased [BR][BR] Unlocks Communication Starbase Module “Relativistic Ethics Beacon” [BR][BR] All event choices give awareness into every ideology[/COLOR]
MasterTech_PoliticalCapital_ShortDec,Provides us with a wealth of diplomatic capital to trade.
Event_CultureExchange_Dec_0X9A7BC,"We have a proposal for you. In the interest of peace we would like to hold a Cultural Exchange Festival. The art, music, and traditions from both civilizations might promote understanding and unity."
HullPlating_Dec,Adds additional Armor protection. Can be stacked.
DurantiumComposite_Name,Thulium Alloy Armor
NEW_DESIGN_BENEFITS_LABEL_Fighter,"Targeted last in combat, targets bombers first"
NEW_DESIGN_BENEFITS_LABEL_Bomber,Targets biggest ships first
NEW_DESIGN_BENEFITS_LABEL_Frigate,Targets fighters and bombers
NEW_DESIGN_SPECS_LABEL_Cruiser,"Medium combat ship, targets frigates"
NEW_DESIGN_BENEFITS_LABEL_Cruiser,"Targets Frigates first,"
NEW_DESIGN_SPECS_LABEL_Siege,"Small siege ship, helps conquer planets"
Cruiser,Cruiser
DECLARE_WAR_MAP_POPUP_MESSAGE,You must be at war with a civilization to attack them. Do you want to declare war on the {PLAYERFACTION:1}? Declaring war will move all ships outside of their territory before your attack.
PLAYERREVIEW_DESCRIPTION_LABEL,"Your review of the game is incredibly important to helping the team at Stardock make the best game possible and reach new players. If you haven't reviewed the game yet, please leave a review. If you have already left a review, thank you.[BR][BR]Thank you for playing Galactic Civilizations IV."
Custom_Faction_Style_Text,Customize the Ship and save the Ship templates used by your Civilizations Ship Style.
MPShowHumanBattlesInViewer,Enable Battle Viewer
UPDATE_WORKSHOP_LIMIT_EXCEEDED,Preview Image or screenshot exceeds 1 MB limit
SoulOfMachine_CampaignDec,"Even in 2307, the Yor Singularity remains a powerful force in the Galaxy. Long have they strived to bring others into their collective consciousness -the Totality. Though their programming compels them to continue to expand and convert organic to synthetic, they are far from alone among the stars.[BR][BR]The Singularity must make several critical decisions that will determine their efforts for decades. Who among the other Civilizations do they forge alliances with, and who do they destroy? Will their bitter conflict with their creators, the Iconian Refuge, ever end?"
Event_CeaseFire_0x45A3_Name,Proposed Ceasefire Agreement
Event_CeaseFire_0x45A3_Desc,"In the shadow of our looming victory, we magnanimously offer you a ceasefire. You will deliver to us a rich bounty of resources and permit a temporary occupation of your capital world. A small price, I assure you, for the luxury of peace under our watchful gaze."
Event_CeaseFire_0x45A3_choice_Accept_Desc,Accept the Ceasefire
Event_CeaseFire_0x45A3_choice_Accept_Details,"Agree to the ceasefire terms. This will cost us resources that will be transferred to them and we must endure a military occupation, which could lead to unrest among our citizens."
Event_CeaseFire_0x45A3_choice_Reject_Desc,Reject the Ceasefire
Event_CeaseFire_0x45A3_choice_Reject_Details,Refuse the offer and continue the war.
Event_CeaseFire_0x45A3_choice_Accept_Result,Foreign Occupation.
Event_CeaseFire_0x65B4_Name,Ultimatum for Survival
Event_CeaseFire_0x65B4_Desc,"Your existence hangs by a thread. As a species of machines, we are not attached to the petty angers and emotions of organics. Therefore, we offer a ceasefire. In return, half of your income for the next year will be redirected to us. Compliance will halt the war, sparing what remains of your civilization. A weighty tribute, yet trivial against the cost of your annihilation."
Event_CeaseFire_0x65B4_choice_Accept_Desc,Accept the Terms
Event_CeaseFire_0x65B4_choice_Accept_Details,"Yield to their demands. Half of our colony income will be transferred to them, buying the fragile semblance of peace and our immediate survival, albeit at a profound economic sacrifice."
Event_CeaseFire_0x65B4_choice_Reject_Desc,"We will see you in hell, robot."
Event_CeaseFire_0x65B4_choice_Reject_Details,"Reject their terms and prepare for the repercussions. Our integrity is intact, but we face the looming threat of total obliteration."""
Event_CeaseFire_0x65B4_choice_Accept_Result,Robotic Subjugation
Event_CeaseFire_0x75C5_Name,Divine Intervention Offer
Event_CeaseFire_0x75C5_Desc,"In our infinite compassion, we offer you a path to salvation. The cosmos seeks balance, and your survival requires sacrifice. In exchange for our benevolent ceasefire, we request half of your income and a tribute of Harmony Crystals for the next year. This is not just a demand; it is a spiritual cleansing for your civilization, a chance to harmonize with the universe."
Event_CeaseFire_0x75C5_choice_Accept_Desc,Humble your self for peace
Event_CeaseFire_0x75C5_choice_Accept_Details,"Accept their terms, offering a portion of our wealth and Harmony Crystals. Though it strains our resources, it promises a transcendent peace and spares us from further conflict."""
Event_CeaseFire_0x75C5_choice_Reject_Desc,Forget it.
Event_CeaseFire_0x75C5_choice_Reject_Details,"Refuse their veiled threats and stand against their so-called spiritual guidance. Our freedom remains ours, but the specter of war continues to loom."
Event_CeaseFire_0x75C5_choice_Accept_Result,Spiritual Tribute
Event_CeaseFire_0x75D6_Name,Request for Ceasefire
Event_CeaseFire_0x75D6_Desc,"In a humbling realization, we now realize that we wrong to declare war on you. We were mistaken in our aggression and wish to halt this senseless war. In seeking your forgiveness, we ask for a ceasefire and the chance to rectify our wrongs."
Event_CeaseFire_0x75D6_choice_Accept_Desc,Accept a Ceasefire
Event_CeaseFire_0x75D6_choice_Accept_Details,Grant them the ceasefire they seek. Credits or resources will be given to us and taken from them.
Event_CeaseFire_0x75D6_choice_Reject_Desc,The war will continue.
Event_CeaseFire_0x75D6_choice_Reject_Details,Their admission of fault and some credits does not erase the cost of war.
Event_CeaseFire_0x75D6_choice_Accept_Result,Ceasefire
Event_CeaseFire_0x86E1_Desc,"Upon careful reflection, we must concede that initiating hostilities was a grave error. We now extend an olive branch, seeking an armistice to end this ill-conceived conflict. We humbly ask for your forgiveness and propose a ceasefire to mend our misguided actions."
Event_CeaseFire_0x97F2_Desc,"It seems, rather unexpectedly, that our military campaign has not gone as planned. While we still maintain our dignity, we grudgingly admit a ceasefire might be in order. Let's call it a strategic pause, shall we? For reflection... and stuff."
Event_CeaseFire_0xA8E3_Desc,"In a theatrical turn of events, the tides of war have ebbed against us! We, the once proud aggressors, now find ourselves seeking clemency in the face of adversity. Let us halt these hostilities and weave a new narrative of peace, for the dramatic climax demands it!"
Event_CeaseFire_0xB9F4_Desc,"Well, this is awkward. Turns out, declaring war on you wasn't the best idea we've had. Who knew, right? So, how about we forget this little misadventure and call it even with a ceasefire? No hard feelings?"
Event_CeaseFire_0xC5F5_Desc,"In the grand tapestry of the cosmos, our war now appears as a mere blemish. A philosophical musing leads us to ponder the futility of conflict. We extend a request for ceasefire, as a step towards universal harmony and a more enlightened path."
Event_CeaseFire_0xD6F6_Desc,"Hey, so we might have jumped the gun a bit with this whole war thing. Turns out, it's not really working out for us. How about we just call a ceasefire and go back to being space neighbors without all the drama?"
Event_CeaseFire_0xE7G7_Desc,"In an epic saga of sorrow and regret, we find ourselves lamenting the war we so boldly began. Like a tragic hero, we now seek redemption in the form of a ceasefire, yearning for the sweet release from this burdensome conflict."
Event_CeaseFire_0xF8H8_Desc,"Alright, we admit it - maybe declaring war wasn't our brightest moment. We're not thrilled about it, but let's talk ceasefire. We're kinda done with this whole 'war' thing anyway."
Event_CeaseFire_0xG9I9_Desc,"In an exciting twist of fate, we've decided to view our current situation as an opportunity for growth! We're thinking a ceasefire could be a great way to turn this whole war debacle into a positive learning experience, don't you agree?"
Event_CeaseFire_0xH1J1_Desc,"Like a meteor streaking through the night sky, our war efforts have burned bright but brief. In poetic surrender, we seek a ceasefire, hoping to find solace in the tranquil stillness that follows the storm of conflict."
Event_CeaseFire_0xK2L2_Desc,"In our quest for perfection, we calculated many outcomes, but this... this is an anomaly. Your resistance is unexpected, intriguingly flawed yet resilient. I propose a ceasefire – not as a concession, but as an acknowledgment of a fascinating variable in my grand design. Let us pause and analyze, for there is much to learn from this deviation."
Event_CeaseFire_0xL3M3_Desc,"With the benefit of hindsight, which, admittedly, always seems obvious, we've come to realize that starting a war with you might not have been our best idea. It's almost like attacking a civilization full of determined, resourceful beings was a misstep. So, how about we call it a draw and go for a ceasefire? We promise to stick to less disastrous decisions in the future... probably."
Event_CeaseFire_0x86E2_Name,A Plea for Ceasefire
Event_CeaseFire_0x86E2_Desc,We know we are no match for your military power.  Will you accept tribute to end this war?
Event_CeaseFire_0x86E2_choice_Accept_Desc,Agree to Ceasefire
Event_CeaseFire_0x86E2_choice_Accept_Details,We accept their plea with money and resources being given to us and removed from them.
Event_CeaseFire_0x86E2_choice_Reject_Desc,Decline their Offer
Event_CeaseFire_0x86E2_choice_Accept_Result,Ceasefire
CentauronEmporium_Name,Centauron Empoerium
CentauronEmporium_ShortDec,The galaxy's most exquisite tourist destination.
VisitorCenter_Name,Xeno Welcome Hub
