Label,String
LoyalAbility_Dec,Leaders all have +10 Loyalty and cost 25% less to recruit. +5 Cultural Points when a Leader is assigned to a Command Ship.
Event_AncientWormhole_Bonus_Name_0X1F4CD,Take the Wormhole Generator artifact.
Event_AncientWormhole_Bonus_Dec_0X1F4CD,Wormhole Generator artifact goes to the vault.
CITIZEN_DESCRIPTION_PRETEXT_NO_TRAITS_Option0_0,Consider one of a number of terrestrial and extraterrestrial factions that are rivals in a galactic scale race to dominate space. They are described as follows: {PLAYERFACTIONDESCRIPTION:1}. 
CITIZEN_BIOLOGY_PROMPT_Option0_0,"Based on this short description, which of the following biologies seems more applicable. '''1. Terrestrial Carbon based life; 2. Aquatic based life; 3. Silicon based life; 4. Robotic or Synthetic; 5. Ammonia based life''' As an example, any bipedal or quadrapedal animal would be '''1''', any fish or other sea-life would be '''2''', any partially electronic beings would be '''3''', any fully manufactured beings would be '''4''', and any gaseous being would be '''5'''. Output only a number with no commentary."
CITIZEN_DESCRIPTION_PROMPT_Option0_0,"Based on this short description, output a creative two sentence description of the citizens of this species. Remember, the description is of the citizens not of the civilization."
CITIZEN_SPECIES_CATEGORY_PROMPT_Option0_0,"Based on this short description, choose one of the following that best describes the species that would represent them in the context of a sci-fi universe. Now choose which species best describes them: '''1. Humans; 2. Elves. 3; Humanoid cats; 4. Felines such as tigers; 5. Robots; 6. Vampires; 7. Dragons; 8. Birds; 9. Amphibians; 10. Dogs; 11. Insects; 12. Crystal; 13. Trees; 14. Reptiles; 15. Demons; 16. Beautiful women; 17. Humanoid; 18. Dwarves; 19. Cyborg; 20. Plants; 21. Zombies; 22. Something else.''' Consider the description as being more important than the traits. If the description mentions a member of a given species, use that species. For example '''Drake''' indicates '''Dragons'''; '''Ant''' indicates '''Insects''', '''Canary''' indicates '''Birds'''. Only Silicon or Synthetic lifeforms can be Robots. Remember only output a single number with NO COMMENTARY or other text."
BorderSkirmish_Name_1,{PLAYERFACTION:2} Skirmish
WarOfExpansion_Name_1,{PLAYERFACTION:2} Border Dispute
WarOfConquest_Name_1,Conquest of the {PLAYERFACTION:2}
WarOfAnnihilation_Name_1,Annihilation of the {PLAYERFACTION:2}
Hotspot_ConqueringPlanetsDec,"All colonized planets have a [ICON=Stat_Planetary_Defense_Icon] Planetary Defense rating. This represents how defended a planet is and how much military might it will take to overcome its defenses. [HS=HS_Fleet]Fleets[/HS] have a [ICON=Conquest_Icon] Conquest Rating, representing how equipped they are to besiege a planet. Some ships, like Transport ships, are better equipped to Conquer planets than others.[BR][BR]To initiate a siege, issue a [HS=HS_ShipMovement]Move[/HS] command to a [HS=HS_Fleet]Fleet[/HS] with the target being the Planet to conquer. When the [HS=HS_Fleet]Fleet[/HS] reaches the Planet, it will initiate a siege if its [ICON=Conquest_Icon] Conquest Rating is high enough to overcome the Planet's [ICON=Stat_Planetary_Defense_Icon] Defense Rating."
Trait_Kindness_Dec,"[I]Love and compassion are necessities, not luxuries. Without them, we cannot survive.[/I][BR][BR][COLOR=UIDefaultHighlight] Permanent bonus to Approval based on Pacifism Cultural Awareness[/COLOR][BR][COLOR=UIDefaultHighlight] +1 Diplomacy[/COLOR][BR][COLOR=UIDefaultHighlight]3 Constructor ships join you[/COLOR]"
AidEconomy_ShortDec,Provides 100 credits
CentauronEmporium_Name,Centauron Emporium
MasterColonizationTech_Name,Science
MasterTech_Warfare_Name,Weapons
MasterTech_Warfare_ShortDec,Allows adding weapons to our ships.
MasterTech_Warfare_Dec,Allows adding weapons to our ships.
MasterTheCallingTech_ShortDec,Allows the Krynniac Temple to upgrade to the Krynniac Mission.
MasterTheOrderTech_ShortDec,Allows the Krynniac Mission to upgrade to the Krynniac Order and construction of the Krynniac Sanctuary.
MasterThePathofShadows_ShortDec,Allows construction of the Temple of Whispers.
MasterTech_AsteroidMining_ShortDec,Allows us to start building Asteroid Miners that boost our world's manufacturing.
MasterTech_KineticDischargeMiniaturization_Name,Coil Acceleration
MasterTech_KineticDischargeMiniaturization_ShortDec,"A variation on railguns and gauss cannons, using magnetic coils for projectile acceleration."
MasterTech_KineticAugmentation_Name,Neutronium Weapons
MasterTech_HyperFieldMassDrivers_Name,Neutronium Augmentations
MasterTech_ImprovedKineticWeaponDoctrine_Name,Neutronium Mastery
MasterTech_GravitonGuns_Name,Graviton Weapons
MasterTech_ExoticMassWeaponry_Name,Gravitonic Vortex Weapons
MasterTech_InertiaEnhancement_Name,Electrodynamic Gravitonics
MasterTech_KineticWeaponMastery_Name,Quantum Catapults
MasterTech_MassManipulation_Name,Higgs Fields Disruption
MasterTech_MassManipulation_Dec,"A breakthrough in particle sciences has enabled us to disrupt the Higghs field via projectiles which are are arguably massless, at least until a quantum chain reaction decays to a certain point. By mixing these particles with conventional matter, we can fire practically wafer-thin projectiles which become far heavier on the way to their target."
MasterTech_MissilePayloadOptimization_Name,Matadrox Missile Components
MasterTech_MissilePayloadOptimization_ShortDec,Enhance missile efficacy with Matadrox component integration.
MasterTech_ImprovedMissileWarfareDoctrine_Name,Cerberus Warhead Ensemble
MasterTech_PayloadMiniaturization_Name,Leviathan Warheads
MasterTech_AdaptiveMissileSystem_Name,Fury Missile Enhancements
MasterTech_AdaptiveMissileSystem_ShortDec,Elevate missile intelligence with Fury Missile Enhancements.
MasterTech_ImprovedMissileProduction_Name,Icarion Warhead Clusters
MasterTech_ImprovedMissileProduction_ShortDec,Refine tactics with the Cerberus Warhead Ensemble's multi-target capabilities.
MasterTech_AntimatterDetonation_ShortDec,Maximize destruction with advanced Antimatter Detonation techniques.
MasterTech_AntimatterDetonation_Dec,"Antimatter Detonation technology harnesses the universe's most potent energy source, allowing for unprecedented destructive power. By annihilating matter upon contact, this tech offers a leap in missile warfare, ensuring that our payloads deliver cataclysmic damage with unparalleled efficiency. A game-changer in strategic offense."
MasterTech_AdvancedMissileDoctrine_Name,Orion's Spear
MasterTech_AdvancedMissileDoctrine_ShortDec,Semi-Sentient Missile System
MasterTech_MissileWarfareMastery_Name,Orion's Fury
TerranAllianceCorvette_Name,Dauntless
TerranAllianceCorvetteEnhanced_Name,Intrepid 
Chaff_Dec,Reduces damage done by [ICON=MissileAttackIcon] Missile Attacks.
CarrierModule_Dec,Carries 4 Fast and deadly Assault Fighters
FrigateModule_Dec,A special module required in order to enable Frigate class ships.
PresetCategory_Fighter_Dec,Fighter Category ships are Tiny Hull vessels that have increased [HS=HS_PointDefense]Evasion[/HS].
PresetCategory_Bomber_Dec,Bomber Category ships are Tiny Hull vessels that deal increased Damage.
PresetCategory_Frigate_Dec,Frigate Category ships are Small Hull vessels that have increased [HS=HS_Accuracy]Accuracy[/HS].
PresetCategory_Cruiser_Dec,Cruiser Category ships are Medium Hull vessels that have increased Weapon Range.
PresetCategory_Battleship_Dec,Battleship Category ships are Large Hull vessels that have increased [HS=HS_ArmorRating]Armor[/HS].
PresetCategory_Dreadnought_Dec,Dreadnought Category ships are Huge Hull vessels that have increased [HS=HS_ShieldStrength]Shield Strength[/HS].
PresetCategory_Siege_Dec,Siege Category ships are Small Hull vessels that have an increased Conquest Rating.
PresetCategory_Invader_Dec,Invader Category ships are Cargo Hull vessels that have a highly increased Conquest Rating.
NEW_DESIGN_BENEFITS_LABEL_Fighter,+25% [HS=HS_PointDefense]Evasion[/HS]
NEW_DESIGN_BENEFITS_LABEL_Bomber,+10% Damage
NEW_DESIGN_BENEFITS_LABEL_Frigate,+25% [HS=HS_Accuracy]Accuracy[/HS]
NEW_DESIGN_SPECS_LABEL_Cruiser,Medium combat ship
NEW_DESIGN_BENEFITS_LABEL_Cruiser,+10% Weapon Range
NEW_DESIGN_BENEFITS_LABEL_Siege,+12 Conquest Rating
NEW_DESIGN_BENEFITS_LABEL_Battleship,+10% [HS=HS_ArmorRating]Armor[/HS]
NEW_DESIGN_BENEFITS_LABEL_Dreadnought,+10% [HS=HS_ShieldStrength]Shield Strength[/HS]
NEW_DESIGN_BENEFITS_LABEL_Constructor,Creates a [HS=HS_Starbase]Starbase[/HS]
NEW_DESIGN_BENEFITS_LABEL_Invader,+40 Conquest Rating
AttackOrder_FighterFirst_Name,Smallest Combatants
AttackOrder_BomberFirst_Name,Bombers
AttackOrder_FrigateFirst_Name,Gunships
AttackOrder_CruiserFirst_Name,Capital Ships
AttackOrder_SupportFirst_Name,Support Ships
AttackOrder_NeverAttackFirst_Name,Return Fire Only
OperationalAbility_LongReach_Name,Long Shot
ProximaCentauriSystem_Dec,The home system of the exiled Terran Resistance. It contains a class 23 [HS=HS_MountainousWorld]Mountainous[/HS] world and a single small world.
STATDEC_PlanetaryDefense,[HS=HS_PlanetaryDefense]Planetary Defense[/HS] [HS=HS_Improvement]Improvements[/HS] increase a Colony's ability to resist Invasion and extend how long it takes an invading [HS=HS_Fleet]Fleet[/HS] to [HS=HS_ConqueringPlanets]Conquer[/HS] the Colony.
STATDEC_ResistanceBonus,Resistance measures how resilient a Colony is to foreign [HS=HS_Influence]Influence[/HS]. A higher Resistance will cause it to take longer for a Colony to rebel when in another Civilization's [HS=HS_ZoneOfControl]Zone of Control[/HS].
STATDEC_PlanetaryDefensesHP,A rating of how powerful the Colony's defenses are. Higher [HS=HS_PlanetaryDefense]Planetary Defenses[/HS] cause Invasions to take more [HS=HS_Months]Turns[/HS] and require [HS=HS_Fleet]Fleets[/HS] to have higher [ICON=Conquest_Icon] Conquest Ratings to try to [HS=HS_ConqueringPlanets]Conquer[/HS] the Colony.
STATDEC_PlanetaryDefensesMaxHP,A rating of how powerful the Colony's defenses are. Higher [HS=HS_PlanetaryDefense]Planetary Defenses[/HS] cause Invasions to take more [HS=HS_Months]Turns[/HS] and require [HS=HS_Fleet]Fleets[/HS] to have higher [ICON=Conquest_Icon] Conquest Ratings to try to [HS=HS_ConqueringPlanets]Conquer[/HS] the Colony.
STATNAME_SiegeAbility,[ICON=Conquest_Icon] Conquest Rating
Tutorial2_Name,Science
SHIP_DESIGNER_CATEGORY_Fighter,[HS=HS_PointDefense]Fighters[/HS]
RESEARCH_WEAPONS_LABEL,Weapons
RESEARCH_ECONOMIC_LABEL,Science
GROWTH_TOOLTIP_DESCRIPTION,"Growth comes from the non-synthetic citizens on your world. Planetary Improvements and Citizen Roles can be leveraged to increase Growth. However, Growth can also be significantly decreased on worlds with high pollution."
PlanetaryDefensesHPFormatString,{AMOUNT}
ALERT_BesiegedPlanet,"Our planet {PLANETNAME} is under siege, and will fall in {AMOUNT} months."
ALERT_ConqueredPlanetWin,We have conquered the planet {PLANETNAME}.
ALERT_ConqueredPlanetLoss,{PLANETNAME} has been conquered.
Unit_Entrepreneur_Dec,Entrepreneurs provide boost a world's [HS=HS_ColonyGrossIncome]Income[/HS] based on their Social trait.
Unit_Entrepreneur2_Name,Economist
Unit_Entrepreneur2_Dec,Economists provide [HS=HS_TradeLicensesMax]Trade Licenses[/HS] as well as boost a world's [HS=HS_ColonyGrossIncome]Income[/HS] based on their Social and [HS=Manufacturing]Manufacturing[/HS] based on their Diligence.
WarAims_BorderSkirmish_Name,War of Defense
WarAims_BorderSkirmish_Desc,A short-term war with the intent to preempt aggression and protect borders. Declaring a War of Defense carries minor diplomatic penalties.[BR][BR]Gain [HS=HS_AggressiveNeighbor]Aggressive Neighbor[/HS]
WarAims_WarOfExpansion_Desc,A moderate-length war with the intent to expand borders and spread influence. Declaring a War of Expansion results in diplomatic penalties.[BR][BR]Gain [HS=HS_DangerousNeighbor]Dangerous Neighbor[/HS]
WarAims_WarOfConquest_Desc,A long-term war with the intent to claim vast expanses of enemy territory. Declaring a War of Conquest comes with harsher diplomatic penalties.[BR][BR]Gain [HS=HS_GalacticThreat]Galactic Threat[/HS]
WarAims_WarOfAnnihilation_Desc,A prolonged war with the intent to wipe out the enemy civilization. Declaring a War of Annihilation will carry severe diplomatic penalties.[BR][BR]Gain [HS=HS_ClearAndPresentDanger]Clear and Present Danger[/HS]
WarAction_CaptureCoreWorld_Name,Conquer Core World
WarAction_CaptureColony_Name,Conquer Colony
WarAction_CaptureColony_Completed_Name,Colonies Conquered
WarAction_CaptureStarbase_Name,Conquer Starbase
WarAction_CaptureStarbase_Completed_Name,Starbase Conquered
WAR_NAME_BORDER_SKIRMISH_GENERIC_1,War of Defense
BattleClass_Probe_Name,Probe
BattleClass_Probe_Description,Probe
BattleClass_Miner_Name,Miner
BattleClass_Miner_Description,Miner
BattleClass_Survey_Name,Flag
BattleClass_Survey_Description,Flag
BattleClass_Fighter_Name,Fighter
BattleClass_Fighter_Description,Fighter
BattleClass_Frigate_Name,Frigate
BattleClass_Frigate_Description,Frigate
BattleClass_Cruiser_Name,Cruiser
BattleClass_Cruiser_Description,Cruiser
BattleClass_Battleship_Name,Battleship
BattleClass_Battleship_Description,Battleship
BattleClass_Dreadnought_Name,Dreadnought
BattleClass_Dreadnought_Description,Dreadnought
BattleClass_Colony_Name,Colony
BattleClass_Colony_Description,Colony
BattleClass_Constructor_Name,Constructor
BattleClass_Constructor_Description,Constructor
BattleClass_Freighter_Name,Freighter
BattleClass_Freighter_Description,Freighter
BattleClass_SupplyShip_Name,Supply Ship
BattleClass_SupplyShip_Description,Supply Ship
BattleClass_Siege_Name,Siege
BattleClass_Siege_Description,Siege
BattleClass_Invader_Name,Invader
BattleClass_Invader_Description,Invader
BattleClass_Undeclared_Name,Undeclared
BattleClass_Undeclared_Description,Undeclared
BattleClass_Mercenary_Name,Mercenary
BattleClass_Mercenary_Description,Mercenary
BattleClass_Bomber_Name,Bomber
BattleClass_Bomber_Description,Bomber
BattleClass_CombatShipClass_Name,Combat Ship Class
BattleClass_CombatShipClass_Description,Combat Ship Class
BattleClass_Support_Name,Support
BattleClass_Support_Description,Support
BattleClass_HypergateShip_Name,Hypergate Ship
BattleClass_HypergateShip_Description,Hypergate Ship
BattleClass_Carrier_Name,Carrier
BattleClass_Carrier_Description,Carrier
BorderSkirmish_SimpleName,War of Defense
BorderSkirmish_Name_3,{PLAYERFACTION:2} Minor Conflict
BorderSkirmish_Name_4,{PLAYERFACTION:1} Defensive Campaign
BorderSkirmish_Name_5,The {PLAYERFACTION:2} War of Defense
WarOfExpansion_SimpleName,War of Expansion
WarOfExpansion_Name_2,{PLAYERFACTION:1} Annexation Campaign
WarOfExpansion_Name_3,{PLAYERFACTION:2} Conflict
WarOfExpansion_Name_4,The {PLAYERFACTION:2} War of Expansion
WarOfConquest_SimpleName,War of Conquest
WarOfConquest_Name_2,{PLAYERFACTION:2} Major Conflict
WarOfConquest_Name_3,{PLAYERFACTIONLONG:1} Territory Conquest
WarOfConquest_Name_4,The {PLAYERFACTION:2} War of Conquest
