Label,String
WealthyAbility_Dec,Starts with 2000 more credits and the Universal Translator technology. Receives access to Interstellar Banking technologies.
ALERT_PlayerKillMercenary,The %s killed the mercenary %s.
EndGameCredits_20_Text,"[ICON=Bullet] Special Thanks [ICON=Bullet]
        [BR](eXplorminate) Rob, admiralWillyWilber, aerez4546 [BR]Airmaster, Avsari, Basilisk83 [BR]Battlemode, Caboose Corsair, Caden [BR]CivHunter, Commander4XDahrkstar, CoreyLoses [BR]Creature of Existence, CryptKeeper, Dalo Lorn, [BR]Dan Lapine, DivineWrathDraver7, Dlapine [BR]Draver, Dray Prescot, DrYazman [BR]DwayneC, Eric Clark, FlameScreen [BR]FrogGamer, GalamSabag, GGrad [BR]ghost88, Ghost99, Go4Celerity [BR]GoaFan77, Greg Lafrenz, gypsy2299 [BR]Halicide, Hanakocz, Illauna [BR]John Garth, jvdoug, Larsenex [BR]Michael Brandeberry, Michael 'Pbhead' Kidd, N1Starfighter71854 [BR]Old-Spider, Outis, PaulLauch [BR]Phil 'Kodiak' Cowin, PubliusNV, Red Earth [BR]Red Phoenix, RedPhoenix, Reilly Reese [BR]Scifi1950, Scott 'Seilore' Hesse, SpellSage [BR]StrawPaladin, Sulley1, Syclones [BR]Syconess, Sypralogi, Sypralogi ""rose"" [BR]tid242, Tyrantosaurex, Viper377 [BR]wisi2k, Xandrette, Zabik2
        "
FACTION_ARCEAN_LeaderName,Lord Vega
Trait_Independence_Dec,"[I]Independence in colonies nurtures self-reliance, empowering them to tend to their own needs and flourish autonomously.[/I][BR][BR][COLOR=UIDefaultHighlight]15% increase to Supply Attrition from colonies[/COLOR][BR][COLOR=UIDefaultHighlight]Spawns the ship ""The Independence""[/COLOR]"
Event_0x7AC3_DefectingScientist_Dec,"{LEADERNAME}'s close friend, a top scientist, defected from their home planet with classified technology, bringing it to your civilization. This has given you a technological edge. However, their former government demands their return, along with the technology. Your advisors are split: some suggest compliance to improve diplomatic relations, while others recommend refusal to protect your friend and maintain your advantage."
Event_0x7AC3_DefectingScientist_Choice1_Dec,"You comply with the demand, returning your friend and the technology. Diplomatic relations improve, but it costs you the technological advantage and strains your leadership, as your friend's trust is betrayed."
Event_0x7AC3_DefectingScientist_Choice2_Dec,"Refusing to surrender your friend and the technology, you keep the advantage. Your loyalty and intelligence as a leader are reinforced, but diplomatic relations suffer significantly."
Event_0x7C32_Tactics_Dec,"{LEADERNAME}, your brilliant strategist, has become infamous for their ruthless tactics. Their latest plan could drastically increase the effectiveness of planetary sieges, but such tactics would result in significant civilian casualties. While the strategy may help turn the tide of conflict, it could also provoke outrage and moral condemnation from your people and the galactic community.[BR][BR]Your advisors are divided, with some arguing that the potential benefits outweigh the risks, while others advocate for a more measured and cautious approach. The choice ultimately falls on you to decide whether to authorize {LEADERNAME}'s ruthless tactics or to seek alternative strategies."
MasterTech_Bioplastics_ShortDec,Allows for further upgrades to our Manufacturing Districts.
MasterTech_ResearchMatrix_ShortDec,Makes available the Orbital Institute.
MasterTech_ArtificalBrains_ShortDec,Increases the intelligence of our citizens.
MasterTech_Terraforming_ShortDec,Allows us to make greater use of our worlds.
MasterTech_OrbitalDefencePlatform_Dec,"A dedicated orbital defense platform provides an additional layer of defense for our planetary systems, and relieve some of the defensive responsibility from our starbases."
MasterTech_InterstellarCabinet_ShortDec,Makes available more Ministers.
MasterTech_DreadlordWeapons_ShortDec,Dreadlord technology provides a powerful boost to our weapons.
MasterTech_SupplyDrones_Dec,"These new drones, capable of navigating interstellar space autonomously, provides our fleet resupply network with a new degree of flexibility and effectiveness."
MasterTech_WeaponSystems_ShortDec,Allows for better integration of our newly invented space weapons.
MasterTech_DisruptorBeams_ShortDec,"Unlocks a new, more lethal, beam weapon component for our ship designs."
MasterTech_EvasiveTactics_ShortDec,Unlocks Weapon Jammers which can increase the evasion of our ships.
MasterTech_ArmorDefenseTheory_ShortDec,Advanced Armor helps mitigate damage from attacks.
MasterTech_ImprovedArmorScience_ShortDec,Advancements in materials technology provides us with lighter and stronger Armor.
MasterTech_ArmorMaterialScience_ShortDec,Advancements in materials technology provides us with lighter and stronger Armor.
MasterTech_DiamonicArmorComposite_ShortDec,Advancements in materials technology provides us with lighter and stronger Armor.
MasterTech_SelfHealingArmor_ShortDec,Advancements in materials technology provides us with lighter and stronger Armor.
MasterTech_ArmorDensityImprovements_ShortDec,Advancements in materials technology provides us with lighter and stronger Armor.
MasterTech_OrganicArmor_ShortDec,Advancements in materials technology provides us with lighter and stronger Armor.
MasterTech_AdaptiveArmorImprovements_ShortDec,Advancements in materials technology provides us with lighter and stronger Armor.
