Label,String
Event_SmugglersTreasure_0x745_Name,Smuggler's Hideout Treasure
Event_SmugglersTreasure_0x745_Desc,"Our flagship has stumbled upon an abandoned smuggler's hideout, brimming with a treasure trove of riches. The smuggler is nowhere to be seen. We now face a moral dilemma: should we seize this unexpected bounty or respect the unwritten rules of ownership?"
Event_SmugglersTreasure_0x745_Choice_Take_Desc,Claim the Treasure
Event_SmugglersTreasure_0x745_Choice_Take_Details,"Taking the treasure could significantly boost our resources, providing a much-needed advantage. However, this action might attract unwanted attention and could tarnish our reputation among other factions."
Event_SmugglersTreasure_0x745_Choice_Leave_Desc,Leave the Treasure Untouched
Event_SmugglersTreasure_0x745_Choice_Leave_Details,"Respecting the principle of ownership, we choose to leave the treasure untouched. This may uphold our moral and ethical standards, but we miss out on a potentially significant opportunity to enhance our resources."
Event_SmuglersRevenge_0xC3B1_Name,Smuggler's Revenge
Event_SmuglersRevenge_0xC3B1_Dec,"The smuggler, whose treasure we previously encountered, has returned to seek revenge. Enraged by our actions, they have launched a surprise attack against us with a fleet os ships in our territory. We must prepare to face the consequences of our earlier decision."
Event_SmuglersRevenge_Choice_1_0xC3B1_Name,Defend Against the Attack
Event_SmuglersRevenge_Choice_1_0xC3B1_Dec,"It's time to face the smuggler's wrath. We must deploy our defenses and repel their attack. This encounter serves as a harsh reminder that our actions, even in the depths of space, can have unexpected and dangerous repercussions."
Event_AdvancedShieldTechDiscovery_0xB52_Name,New Shield Technology Discovered
Event_AdvancedShieldTechDiscovery_0xB52_Desc,"Our flagship has recovered the schematics of a groundbreaking shield technology. This new component, when equipped, promises to add an additional layer of shields to every ship in our fleet, capable of absorbing the first hit from any attack.[BR][BR]Of course, it begs the question, who made this?"
Event_AdvancedShieldTechDiscovery_Choice_Implement_Desc,We will keep this ship component in mind for future ship designs.
Event_AdvancedShieldTechDiscovery_Choice_Implement_Details,"Implementing this technology will provide our fleet with a significant defensive advantage. While it may not withstand sustained assaults, this additional shielding could be the difference in surviving initial enemy strikes, giving us a critical edge in battle.[BR][BR]It will be available in the ship designer."
